sentiment,sentence_stemmed,sentence_stemmed_str
1,"['wow', 'love', 'place']",wow love place
0,"['crust', 'good']",crust good
0,"['tasti', 'textur', 'nasti']",tasti textur nasti
1,"['stop', 'late', 'may', 'bank', 'holiday', 'rick', 'steve', 'recommend', 'love']",stop late may bank holiday rick steve recommend love
1,"['select', 'menu', 'great', 'price']",select menu great price
0,"['get', 'angri', 'want', 'damn', 'pho']",get angri want damn pho
0,"['honeslti', 'didnt', 'tast', 'fresh']",honeslti didnt tast fresh
0,"['potato', 'like', 'rubber', 'could', 'tell', 'made', 'ahead', 'time', 'kept', 'warmer']",potato like rubber could tell made ahead time kept warmer
1,"['fri', 'great']",fri great
1,"['great', 'touch']",great touch
1,"['servic', 'prompt']",servic prompt
0,"['would', 'go', 'back']",would go back
0,"['cashier', 'care', 'ever', 'say', 'still', 'end', 'wayyy', 'overpr']",cashier care ever say still end wayyy overpr
1,"['tri', 'cape', 'cod', 'ravoli', 'chickenwith', 'cranberrymmmm']",tri cape cod ravoli chickenwith cranberrymmmm
0,"['disgust', 'pretti', 'sure', 'human', 'hair']",disgust pretti sure human hair
0,"['shock', 'sign', 'indic', 'cash']",shock sign indic cash
1,"['highli', 'recommend']",highli recommend
0,"['waitress', 'littl', 'slow', 'servic']",waitress littl slow servic
0,"['place', 'worth', 'time', 'let', 'alon', 'vega']",place worth time let alon vega
0,['like'],like
0,"['burritto', 'blah']",burritto blah
1,"['food', 'amaz']",food amaz
1,"['servic', 'also', 'cute']",servic also cute
1,"['could', 'care', 'less', 'interior', 'beauti']",could care less interior beauti
1,['perform'],perform
1,"['that', 'rightth', 'red', 'velvet', 'cakeohhh', 'stuff', 'good']",that rightth red velvet cakeohhh stuff good
0,"['never', 'brought', 'salad', 'ask']",never brought salad ask
1,"['hole', 'wall', 'great', 'mexican', 'street', 'taco', 'friendli', 'staff']",hole wall great mexican street taco friendli staff
0,"['took', 'hour', 'get', 'food', 'tabl', 'restaur', 'food', 'luke', 'warm', 'sever', 'run', 'around', 'like', 'total', 'overwhelm']",took hour get food tabl restaur food luke warm sever run around like total overwhelm
0,"['worst', 'salmon', 'sashimi']",worst salmon sashimi
1,"['also', 'combo', 'like', 'burger', 'fri', 'beer', 'decent', 'deal']",also combo like burger fri beer decent deal
0,"['like', 'final', 'blow']",like final blow
1,"['found', 'place', 'accid', 'could', 'happier']",found place accid could happier
0,"['seem', 'like', 'good', 'quick', 'place', 'grab', 'bite', 'familiar', 'pub', 'food', 'favor', 'look', 'elsewher']",seem like good quick place grab bite familiar pub food favor look elsewher
1,"['overal', 'like', 'place', 'lot']",overal like place lot
1,"['redeem', 'qualiti', 'restaur', 'inexpens']",redeem qualiti restaur inexpens
1,"['ampl', 'portion', 'good', 'price']",ampl portion good price
0,"['poor', 'servic', 'waiter', 'made', 'feel', 'like', 'stupid', 'everi', 'time', 'came', 'tabl']",poor servic waiter made feel like stupid everi time came tabl
1,"['first', 'visit', 'hiro', 'delight']",first visit hiro delight
0,"['servic', 'suck']",servic suck
1,"['shrimp', 'tender', 'moist']",shrimp tender moist
0,"['deal', 'good', 'enough', 'would', 'drag', 'establish']",deal good enough would drag establish
0,"['hard', 'judg', 'whether', 'side', 'good', 'gross', 'melt', 'styrofoam', 'didnt', 'want', 'eat', 'fear', 'get', 'sick']",hard judg whether side good gross melt styrofoam didnt want eat fear get sick
1,"['posit', 'note', 'server', 'attent', 'provid', 'great', 'servic']",posit note server attent provid great servic
